ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE144J01027,20 MICRONS,20MICRONS,2018-10-31,53,53.1,53.1
INE253B01015,21ST CEN.MGM,21STCENMGM,2018-10-31,40.6,40.2,40.6
INE748C01020,3I INFOTECH,3IINFOTECH,2018-10-31,6.48,6.5,6.5
INE470A01017,3M INDIA LTD,3MINDIA,2018-10-31,18859.15,18875,18875
INE618L01018,5PAISA,5PAISA,2018-10-31,301.65,305,305
INE111B01023,63MOONS,63MOONS,2018-10-31,111,109.5,111
INE413X01019,7NR,,2018-10-31,35.5,,35.5
INE650K01021,8KMILES,8KMILES,2018-10-31,751,753,753
INE701G01012,A.K.CAPITAL,,2018-10-31,525,,525
INE432A01017,A.SARABHAI,,2018-10-31,12.61,,12.61
INE619I01012,A2ZINFRA,A2ZINFRA,2018-10-31,38.65,38.65,38.65
INE864E01021,AAIL,,2018-10-31,68.8,,68.8
INE197R01010,AANANDALAK,,2018-10-31,4,,4
INE322R01014,AANCHALISP,,2018-10-31,18.4,,18.4
INE198H01019,AAREY DRUGS,,2018-10-31,58.1,,58.1
INE767A01016,AARTI DRUGS,AARTIDRUGS,2018-10-31,646.5,651.55,651.55
INE769A01020,AARTI INDUST,AARTIIND,2018-10-31,1079.95,1061.8,1079.95
INE273D01019,AARVEE DENIM,AARVEEDEN,2018-10-31,49.95,50,50
INE754X01016,,AARVI,2018-10-31,,95,95
INE430R01015,AAYUSH,,2018-10-31,75,,75
INE421A01028,ABAN OFFSHO,ABAN,2018-10-31,215.7,215.6,215.7
INE117A01022,ABB LTD.,ABB,2018-10-31,1670,1665,1670
INE358A01014,ABBOTT (I),ABBOTINDIA,2018-10-31,5666,5650,5666
INE125D01011,ABC INDIA,,2018-10-31,104.9,,104.9
INE674K01013,ABCAPITAL,ABCAPITAL,2018-10-31,172.8,172.8,172.8
INE647O01011,ABFRL,ABFRL,2018-10-31,163.7,164,164
INE067H01016,ABG SHIPYARD,ABGSHIP,2018-10-31,12.75,12.6,12.75
INE004I01017,ABHI CORP LT,,2018-10-31,4.3,,4.3
INE281P01016,ABHIINFRA,,2018-10-31,4.45,,4.45
INE516F01016,ABHINAV CAP,,2018-10-31,73,,73
INE195I01013,ABIRAMI FIN.,,2018-10-31,8.32,,8.32
INE850B01026,ABM KNOWLEDG,,2018-10-31,116,,116
INE251C01017,,ABMINTLTD,2018-10-31,,43.35,43.35
INE865C01022,ABML,BIRLAMONEY,2018-10-31,81.8,81,81.8
INE012A01025,ACC LTD,ACC,2018-10-31,1739.95,1737.9,1739.95
INE020G01017,ACCEL FRONTL,AFL,2018-10-31,60,59.7,60
INE258C01020,ACCEL TRANS,,2018-10-31,2.66,,2.66
INE793A01012,ACCELYA,ACCELYA,2018-10-31,1445,1497,1497
INE715F01014,ACE INDIA LT,,2018-10-31,2.3,,2.3
INE849B01010,ACE SOFTWARE,,2018-10-31,26,,26
INE543V01017,,ACEINTEG,2018-10-31,,44.5,44.5
INE860P01025,ACHAL,,2018-10-31,3.28,,3.28
INE167B01025,ACI INFOCOM,,2018-10-31,6.91,,6.91
INE326C01017,ACKNIT IND,,2018-10-31,123.95,,123.95
INE636B01011,ACME,,2018-10-31,24.95,,24.95
INE427V01013,ACML,,2018-10-31,189.75,,189.75
INE950D01012,ACROW INDIA,,2018-10-31,145.1,,145.1
INE482D01016,ACRYCIL LTD.,,2018-10-31,575.95,,575.95
INE731H01025,ACTION CONST,ACE,2018-10-31,174.8,175,175
INE357A01032,ACTION FIN.,,2018-10-31,8.99,,8.99
INE423A01024,ADANI ENTER,ADANIENT,2018-10-31,218.75,218.75,218.75
INE742F01042,ADANI PORTS,ADANIPORTS,2018-10-31,435,435.5,435.5
INE814H01011,ADANI POWER,ADANIPOWER,2018-10-31,38.25,38.25,38.25
INE931S01010,ADANITRANS,ADANITRANS,2018-10-31,214.85,215,215
INE627D01016,ADARSH PLANT,,2018-10-31,8.93,,8.93
INE833A01016,ADCINDIA,,2018-10-31,243,,243
INE757C01021,ADDI IND.,,2018-10-31,10,,10
INE982B01019,ADF FOODS LT,ADFFOODS,2018-10-31,273.95,275,275
INE207C01019,ADHINATH TEX,,2018-10-31,5.7,,5.7
INE400H01019,ADHUNIK MET,ADHUNIK,2018-10-31,5.69,5.75,5.75
INE452L01012,ADHUNIKIND,ADHUNIKIND,2018-10-31,89.3,88.8,89.3
INE398H01015,ADINATH EXIM,,2018-10-31,30.7,,30.7
INE570B01012,ADITYA ISPAT,,2018-10-31,7.52,,7.52
INE122D01026,ADITYA SPIN.,,2018-10-31,9.25,,9.25
INE172N01012,ADLABS,ADLABS,2018-10-31,62.5,62.4,62.5
INE556D01017,AD-MANUM FIN,,2018-10-31,37,,37
INE853A01022,ADOR FONTECH,,2018-10-31,123,,123
INE628D01014,ADOR MULTI.,,2018-10-31,19.6,,19.6
INE045A01017,ADORWELDING,ADORWELD,2018-10-31,521.15,524.9,524.9
INE009D01017,ADV POWER,,2018-10-31,2.31,,2.31
INE758A01056,ADVANCE TECH,,2018-10-31,1.23,,1.23
INE903C01013,ADVANCED MIC,,2018-10-31,5.68,,5.68
INE199C01026,ADVANI HOTEL,ADVANIHOTR,2018-10-31,75,76,76
INE101C01022,ADVENT COMP.,,2018-10-31,2.8,,2.8
INE837H01020,ADVENZYMES,ADVENZYMES,2018-10-31,269,269,269
INE537C01019,ADVIK LABORS,,2018-10-31,6.01,,6.01
INE178T01024,ADVIKCA,,2018-10-31,4.1,,4.1
INE208C01025,AEGIS LOGIS,AEGISCHEM,2018-10-31,250.1,250.75,250.75
INE829P01020,AEL,,2018-10-31,42.5,,42.5
INE663P01015,AFEL,,2018-10-31,4.23,,4.23
INE204E01012,AGAR IND COR,AGARIND,2018-10-31,560.1,570,570
INE676A01019,AGCNET,AGCNET,2018-10-31,122,122.4,122.4
INE976R01017,AGIIL,,2018-10-31,155.1,,155.1
INE112C01011,AGIO PAPER,,2018-10-31,4.86,,4.86
INE449G01018,AGRI TECH,AGRITECH,2018-10-31,110,110.8,110.8
INE209A01019,AGRO TECH FO,ATFL,2018-10-31,664,667.95,667.95
INE740V01019,,AGROPHOS,2018-10-31,,36.5,36.5
INE758C01029,AHLUWALIA CO,AHLUCONT,2018-10-31,358,357.9,358
INE868C01018,AHMED.STEEL,,2018-10-31,26.9,,26.9
INE768E01024,AI CHAMPDNY,AICHAMP,2018-10-31,38,37.45,38
INE212H01026,AIAENGINEER,AIAENG,2018-10-31,1559.95,1570,1570
INE428O01016,AIFL,AIFL,2018-10-31,461.25,463.8,463.8
INE206F01014,AIIL,,2018-10-31,69.8,,69.8
INE008B01013,AIMCO PESTI.,,2018-10-31,205,,205
INE123D01016,AIML,,2018-10-31,167.5,,167.5
INE534E01012,AINFRA,,2018-10-31,60.55,,60.55
INE645W01018,,AIRAN,2018-10-31,,242,242
INE966Q01010,AIRL,,2018-10-31,4.2,,4.2
INE801L01010,,AIROLAM,2018-10-31,,49,49
INE778I01024,AISHWARYA TE,,2018-10-31,9.15,,9.15
INE635Y01015,,AISL,2018-10-31,,141.3,141.3
INE031B01049,AJANTA PHARM,AJANTPHARM,2018-10-31,1460,1460.8,1460.8
INE601B01015,AJANTA SOYA,,2018-10-31,64.25,,64.25
INE759C01019,AJCON GLOBAL,,2018-10-31,39.3,,39.3
INE229B01015,AJEL,,2018-10-31,4.25,,4.25
INE022N01019,AJIL,,2018-10-31,77,,77
INE298G01027,AJMERA,AJMERA,2018-10-31,316.8,318,318
INE820Y01013,,AJOONI,2018-10-31,,46.3,46.3
INE863E01015,AJWA FUN WOR,,2018-10-31,20.65,,20.65
INE737W01013,,AKASH,2018-10-31,,82,82
INE523B01011,AKSH OPTIFIB,AKSHOPTFBR,2018-10-31,39.5,39.5,39.5
INE542B01011,AKSHARCHEM I,AKSHARCHEM,2018-10-31,742.15,743.95,743.95
INE671K01019,AKSPINTEX,,2018-10-31,44.55,,44.55
INE133A01011,AKZOINDIA,AKZOINDIA,2018-10-31,1860,1869,1869
