ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE144J01027,20 MICRONS,20MICRONS,10/31/2018,53,53.1,53.1,Stock
INE253B01015,21ST CEN.MGM,21STCENMGM,10/31/2018,40.6,40.2,40.6,Stock
INE748C01020,3I INFOTECH,3IINFOTECH,10/31/2018,6.48,6.5,6.5,Stock
INE470A01017,3M INDIA LTD,3MINDIA,10/31/2018,18859.15,18875,18875,Stock
INE618L01018,5PAISA,5PAISA,10/31/2018,301.65,305,305,Stock
INE111B01023,63MOONS,63MOONS,10/31/2018,111,109.5,111,Stock
INE413X01019,7NR,,10/31/2018,35.5,,35.5,Stock
INE650K01021,8KMILES,8KMILES,10/31/2018,751,753,753,Stock
INE701G01012,A.K.CAPITAL,,10/31/2018,525,,525,Stock
INE432A01017,A.SARABHAI,,10/31/2018,12.61,,12.61,Stock
INE619I01012,A2ZINFRA,A2ZINFRA,10/31/2018,38.65,38.65,38.65,Stock
INE864E01021,AAIL,,10/31/2018,68.8,,68.8,Stock
INE197R01010,AANANDALAK,,10/31/2018,4,,4,Stock
INE322R01014,AANCHALISP,,10/31/2018,18.4,,18.4,Stock
INE198H01019,AAREY DRUGS,,10/31/2018,58.1,,58.1,Stock
INE767A01016,AARTI DRUGS,AARTIDRUGS,10/31/2018,646.5,651.55,651.55,Stock
INE769A01020,AARTI INDUST,AARTIIND,10/31/2018,1079.95,1061.8,1079.95,Stock
INE273D01019,AARVEE DENIM,AARVEEDEN,10/31/2018,49.95,50,50,Stock
INE754X01016,,AARVI,10/31/2018,,95,95,Stock
INE430R01015,AAYUSH,,10/31/2018,75,,75,Stock
INE421A01028,ABAN OFFSHO,ABAN,10/31/2018,215.7,215.6,215.7,Stock
INE117A01022,ABB LTD.,ABB,10/31/2018,1670,1665,1670,Stock
INE358A01014,ABBOTT (I),ABBOTINDIA,10/31/2018,5666,5650,5666,Stock
INE125D01011,ABC INDIA,,10/31/2018,104.9,,104.9,Stock
INE674K01013,ABCAPITAL,ABCAPITAL,10/31/2018,172.8,172.8,172.8,Stock
INE647O01011,ABFRL,ABFRL,10/31/2018,163.7,164,164,Stock
INE067H01016,ABG SHIPYARD,ABGSHIP,10/31/2018,12.75,12.6,12.75,Stock
INE004I01017,ABHI CORP LT,,10/31/2018,4.3,,4.3,Stock
INE281P01016,ABHIINFRA,,10/31/2018,4.45,,4.45,Stock
INE516F01016,ABHINAV CAP,,10/31/2018,73,,73,Stock
INE195I01013,ABIRAMI FIN.,,10/31/2018,8.32,,8.32,Stock
INE850B01026,ABM KNOWLEDG,,10/31/2018,116,,116,Stock
INE251C01017,,ABMINTLTD,10/31/2018,,43.35,43.35,Stock
INE865C01022,ABML,BIRLAMONEY,10/31/2018,81.8,81,81.8,Stock
INE012A01025,ACC LTD,ACC,10/31/2018,1739.95,1737.9,1739.95,Stock
INE020G01017,ACCEL FRONTL,AFL,10/31/2018,60,59.7,60,Stock
INE258C01020,ACCEL TRANS,,10/31/2018,2.66,,2.66,Stock
INE793A01012,ACCELYA,ACCELYA,10/31/2018,1445,1497,1497,Stock
INE715F01014,ACE INDIA LT,,10/31/2018,2.3,,2.3,Stock
INE849B01010,ACE SOFTWARE,,10/31/2018,26,,26,Stock
INE543V01017,,ACEINTEG,10/31/2018,,44.5,44.5,Stock
INE860P01025,ACHAL,,10/31/2018,3.28,,3.28,Stock
INE167B01025,ACI INFOCOM,,10/31/2018,6.91,,6.91,Stock
INE326C01017,ACKNIT IND,,10/31/2018,123.95,,123.95,Stock
INE636B01011,ACME,,10/31/2018,24.95,,24.95,Stock
INE427V01013,ACML,,10/31/2018,189.75,,189.75,Stock
INE950D01012,ACROW INDIA,,10/31/2018,145.1,,145.1,Stock
INE482D01016,ACRYCIL LTD.,,10/31/2018,575.95,,575.95,Stock
INE731H01025,ACTION CONST,ACE,10/31/2018,174.8,175,175,Stock
INE357A01032,ACTION FIN.,,10/31/2018,8.99,,8.99,Stock
INE423A01024,ADANI ENTER,ADANIENT,10/31/2018,218.75,218.75,218.75,Stock
INE742F01042,ADANI PORTS,ADANIPORTS,10/31/2018,435,435.5,435.5,Stock
INE814H01011,ADANI POWER,ADANIPOWER,10/31/2018,38.25,38.25,38.25,Stock
INE931S01010,ADANITRANS,ADANITRANS,10/31/2018,214.85,215,215,Stock
INE627D01016,ADARSH PLANT,,10/31/2018,8.93,,8.93,Stock
INE833A01016,ADCINDIA,,10/31/2018,243,,243,Stock
INE757C01021,ADDI IND.,,10/31/2018,10,,10,Stock
INE982B01019,ADF FOODS LT,ADFFOODS,10/31/2018,273.95,275,275,Stock
INE207C01019,ADHINATH TEX,,10/31/2018,5.7,,5.7,Stock
INE400H01019,ADHUNIK MET,ADHUNIK,10/31/2018,5.69,5.75,5.75,Stock
INE452L01012,ADHUNIKIND,ADHUNIKIND,10/31/2018,89.3,88.8,89.3,Stock
INE398H01015,ADINATH EXIM,,10/31/2018,30.7,,30.7,Stock
INE570B01012,ADITYA ISPAT,,10/31/2018,7.52,,7.52,Stock
INE122D01026,ADITYA SPIN.,,10/31/2018,9.25,,9.25,Stock
INE172N01012,ADLABS,ADLABS,10/31/2018,62.5,62.4,62.5,Stock
INE556D01017,AD-MANUM FIN,,10/31/2018,37,,37,Stock
INE853A01022,ADOR FONTECH,,10/31/2018,123,,123,Stock
INE628D01014,ADOR MULTI.,,10/31/2018,19.6,,19.6,Stock
INE045A01017,ADORWELDING,ADORWELD,10/31/2018,521.15,524.9,524.9,Stock
INE009D01017,ADV POWER,,10/31/2018,2.31,,2.31,Stock
INE758A01056,ADVANCE TECH,,10/31/2018,1.23,,1.23,Stock
INE903C01013,ADVANCED MIC,,10/31/2018,5.68,,5.68,Stock
INE199C01026,ADVANI HOTEL,ADVANIHOTR,10/31/2018,75,76,76,Stock
INE101C01022,ADVENT COMP.,,10/31/2018,2.8,,2.8,Stock
INE837H01020,ADVENZYMES,ADVENZYMES,10/31/2018,269,269,269,Stock
INE537C01019,ADVIK LABORS,,10/31/2018,6.01,,6.01,Stock
INE178T01024,ADVIKCA,,10/31/2018,4.1,,4.1,Stock
INE208C01025,AEGIS LOGIS,AEGISCHEM,10/31/2018,250.1,250.75,250.75,Stock
INE829P01020,AEL,,10/31/2018,42.5,,42.5,Stock
INE663P01015,AFEL,,10/31/2018,4.23,,4.23,Stock
INE204E01012,AGAR IND COR,AGARIND,10/31/2018,560.1,570,570,Stock
INE676A01019,AGCNET,AGCNET,10/31/2018,122,122.4,122.4,Stock
INE976R01017,AGIIL,,10/31/2018,155.1,,155.1,Stock
INE112C01011,AGIO PAPER,,10/31/2018,4.86,,4.86,Stock
INE449G01018,AGRI TECH,AGRITECH,10/31/2018,110,110.8,110.8,Stock
INE209A01019,AGRO TECH FO,ATFL,10/31/2018,664,667.95,667.95,Stock
INE740V01019,,AGROPHOS,10/31/2018,,36.5,36.5,Stock
INE758C01029,AHLUWALIA CO,AHLUCONT,10/31/2018,358,357.9,358,Stock
INE868C01018,AHMED.STEEL,,10/31/2018,26.9,,26.9,Stock
INE768E01024,AI CHAMPDNY,AICHAMP,10/31/2018,38,37.45,38,Stock
INE212H01026,AIAENGINEER,AIAENG,10/31/2018,1559.95,1570,1570,Stock
INE428O01016,AIFL,AIFL,10/31/2018,461.25,463.8,463.8,Stock
INE206F01014,AIIL,,10/31/2018,69.8,,69.8,Stock
INE008B01013,AIMCO PESTI.,,10/31/2018,205,,205,Stock
INE123D01016,AIML,,10/31/2018,167.5,,167.5,Stock
INE534E01012,AINFRA,,10/31/2018,60.55,,60.55,Stock
INE645W01018,,AIRAN,10/31/2018,,242,242,Stock
INE966Q01010,AIRL,,10/31/2018,4.2,,4.2,Stock
INE801L01010,,AIROLAM,10/31/2018,,49,49,Stock
INE778I01024,AISHWARYA TE,,10/31/2018,9.15,,9.15,Stock
INE635Y01015,,AISL,10/31/2018,,141.3,141.3,Stock
INE031B01049,AJANTA PHARM,AJANTPHARM,10/31/2018,1460,1460.8,1460.8,Stock
INE601B01015,AJANTA SOYA,,10/31/2018,64.25,,64.25,Stock
INE759C01019,AJCON GLOBAL,,10/31/2018,39.3,,39.3,Stock
INE229B01015,AJEL,,10/31/2018,4.25,,4.25,Stock
INE022N01019,AJIL,,10/31/2018,77,,77,Stock
INE298G01027,AJMERA,AJMERA,10/31/2018,316.8,318,318,Stock
INE820Y01013,,AJOONI,10/31/2018,,46.3,46.3,Stock
INE863E01015,AJWA FUN WOR,,10/31/2018,20.65,,20.65,Stock
INE737W01013,,AKASH,10/31/2018,,82,82,Stock
INE523B01011,AKSH OPTIFIB,AKSHOPTFBR,10/31/2018,39.5,39.5,39.5,Stock
INE542B01011,AKSHARCHEM I,AKSHARCHEM,10/31/2018,742.15,743.95,743.95,Stock
INE671K01019,AKSPINTEX,,10/31/2018,44.55,,44.55,Stock
INE133A01011,AKZOINDIA,AKZOINDIA,10/31/2018,1860,1869,1869,Stock
INE273F01022,ALAN SCOTT,,10/31/2018,12.5,,12.5,Stock
INE914E01040,ALANKIT,ALANKIT,10/31/2018,64.65,64.75,64.75,Stock
INE155C01010,ALBERT DAVID,ALBERTDAVD,10/31/2018,389,390,390,Stock
